City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Bonthe,SL,2022-07-14 08:49:56,7.5264,-12.505,78.51,82,88,6.13
116,Guthrie,US,2022-07-14 08:48:29,35.8789,-97.4253,81.68,57,0,7.63
117,Marawi,PH,2022-07-14 08:49:57,7.9986,124.2928,74.25,93,73,2.64
118,Kruisfontein,ZA,2022-07-14 08:49:57,-34.0033,24.7314,55.89,88,100,16.4
119,Aykhal,RU,2022-07-14 08:49:58,66.0,111.5,59.43,49,100,6.15
120,Kapaa,US,2022-07-14 08:46:39,22.0752,-159.319,80.58,89,100,19.57
121,Kuna,US,2022-07-14 08:45:12,43.4918,-116.4201,75.85,49,0,10.36
122,Maneadero,MX,2022-07-14 08:49:58,31.7167,-116.5667,66.09,86,31,1.99
123,Ngunguru,NZ,2022-07-14 08:49:59,-35.6167,174.5,59.97,95,100,5.37
124,Hermanus,ZA,2022-07-14 08:49:59,-34.4187,19.2345,57.79,81,71,11.41
125,Kavaratti,IN,2022-07-14 08:49:59,10.5669,72.642,81.45,83,100,20.65
126,Tiksi,RU,2022-07-14 08:50:00,71.6872,128.8694,42.19,84,83,7.34
127,Pangnirtung,CA,2022-07-14 08:50:00,66.1451,-65.7125,44.33,89,91,1.88
128,Naryan-Mar,RU,2022-07-14 08:50:01,67.6713,53.087,84.33,46,1,7.31
129,Andenes,NO,2022-07-14 08:50:01,69.3143,16.1194,54.93,100,100,9.22
130,Elk City,US,2022-07-14 08:50:01,35.412,-99.4043,78.78,44,0,3.44
131,Kodiak,US,2022-07-14 08:50:02,57.79,-152.4072,56.71,82,100,0.0
132,Leningradskiy,RU,2022-07-14 08:50:02,69.3833,178.4167,35.17,86,100,8.48
133,Kashary,RU,2022-07-14 08:50:03,49.04,41.0056,82.83,22,76,18.1
134,Kushmurun,KZ,2022-07-14 08:50:03,52.4503,64.6311,84.36,36,0,5.26
135,Lata,PT,2022-07-14 08:51:03,40.1629,-8.3327,83.8,15,90,3.11
136,Tazovskiy,RU,2022-07-14 08:51:04,67.4667,78.7,60.87,46,100,8.34
137,Djibo,BF,2022-07-14 08:51:04,14.1022,-1.6306,84.78,57,99,14.74
138,Saint George,US,2022-07-14 08:50:14,37.1041,-113.5841,90.19,30,0,10.36
139,Sorong,ID,2022-07-14 08:51:04,-0.8833,131.25,80.73,85,100,12.08
140,Gayny,RU,2022-07-14 08:51:05,60.3071,54.3241,79.93,64,80,7.52
141,Guerrero Negro,MX,2022-07-14 08:51:05,27.9769,-114.0611,63.81,90,8,10.54
142,Mahebourg,MU,2022-07-14 08:51:05,-20.4081,57.7,73.69,68,75,18.41
143,Bansang,GM,2022-07-14 08:51:06,13.4333,-14.65,81.27,79,77,4.7
144,Thompson,CA,2022-07-14 08:51:06,55.7435,-97.8558,66.36,72,40,5.75
145,Carnarvon,AU,2022-07-14 08:51:06,-24.8667,113.6333,71.91,70,0,11.01
146,Hovd,MN,2022-07-14 08:51:07,48.0056,91.6419,73.83,23,64,10.51
147,Stromness,GB,2022-07-14 08:49:27,58.965,-3.296,55.36,86,90,8.99
148,Talnakh,RU,2022-07-14 08:51:07,69.4865,88.3972,63.21,46,70,3.56
149,Yulara,AU,2022-07-14 08:51:08,-25.2406,130.9889,57.13,34,0,10.0
150,Dingle,PH,2022-07-14 08:51:08,10.9995,122.6711,83.97,80,70,4.21
151,Zhuhai,CN,2022-07-14 08:51:09,22.2769,113.5678,89.38,79,20,8.05
152,Soddy-Daisy,US,2022-07-14 08:51:09,35.2359,-85.1908,70.48,91,0,2.19
153,Goma,CD,2022-07-14 08:51:09,-1.6792,29.2228,75.43,47,22,5.97
154,Xixiang,CN,2022-07-14 08:51:10,35.1628,112.865,97.3,39,99,12.62
155,Los Llanos De Aridane,ES,2022-07-14 08:51:10,28.6585,-17.9182,69.55,85,40,9.22
156,Santa Maria,BR,2022-07-14 08:51:11,-29.6842,-53.8069,55.35,98,99,4.61
157,Sao Joao Da Barra,BR,2022-07-14 08:51:11,-21.6403,-41.0511,68.83,90,16,2.42
158,Belmonte,BR,2022-07-14 08:51:11,-15.8631,-38.8828,71.1,87,100,6.35
159,Shizunai,JP,2022-07-14 08:51:12,42.3339,142.3669,66.9,84,49,15.88
160,Port Elizabeth,ZA,2022-07-14 08:51:12,-33.918,25.5701,58.1,91,75,21.85
161,Villaviciosa,ES,2022-07-14 08:51:13,43.4813,-5.4357,78.01,81,79,5.99
162,Whitehorse,CA,2022-07-14 08:51:13,60.7161,-135.0538,50.77,76,100,9.22
163,Lindau,DE,2022-07-14 08:51:13,47.55,9.6833,90.77,55,0,2.3
164,Witu,KE,2022-07-14 08:51:14,-2.3889,40.4382,71.76,89,99,14.56
165,Sakakah,SA,2022-07-14 08:51:14,29.9697,40.2064,98.17,12,6,2.62
166,Bethel,US,2022-07-14 08:51:15,41.3712,-73.414,70.16,87,100,1.01
167,Manzanillo,CU,2022-07-14 08:51:15,20.3433,-77.1167,73.06,88,0,5.59
168,Dingli,MT,2022-07-14 08:51:15,35.8614,14.3822,80.76,61,20,4.61
169,Inhambane,MZ,2022-07-14 08:51:16,-23.865,35.3833,75.11,46,0,6.38
170,Flinders,AU,2022-07-14 08:45:38,-34.5833,150.8552,51.19,74,40,4.0
171,Svetlyy,RU,2022-07-14 08:51:16,54.675,20.1347,65.97,61,17,20.6
172,Praia Da Vitoria,PT,2022-07-14 08:48:38,38.7333,-27.0667,72.75,100,40,14.16
173,Quang Ngai,VN,2022-07-14 08:51:17,15.1167,108.8,85.48,78,94,7.63
174,Shu,KZ,2022-07-14 08:51:18,43.5983,73.7614,94.44,10,0,18.19
175,Hithadhoo,MV,2022-07-14 08:51:18,-0.6,73.0833,82.8,75,85,13.82
176,Arraial Do Cabo,BR,2022-07-14 08:51:18,-22.9661,-42.0278,70.14,88,16,10.27
177,Husavik,IS,2022-07-14 08:51:19,66.0449,-17.3389,47.59,84,100,1.57
178,Mandalgovi,MN,2022-07-14 08:51:19,45.7625,106.2708,82.67,18,100,7.85
179,Yar-Sale,RU,2022-07-14 08:43:09,66.8333,70.8333,64.56,55,99,11.61
180,Gushikawa,JP,2022-07-14 08:51:19,26.3544,127.8686,87.03,80,100,10.22
181,Vardo,NO,2022-07-14 08:52:20,70.3705,31.1107,55.38,94,100,2.3
182,Faanui,PF,2022-07-14 08:52:20,-16.4833,-151.75,78.48,65,21,22.21
183,Grindavik,IS,2022-07-14 08:43:10,63.8424,-22.4338,48.67,87,75,10.36
184,Salalah,OM,2022-07-14 08:52:21,17.0151,54.0924,81.61,74,38,11.23
185,Torbay,CA,2022-07-14 08:52:21,47.6666,-52.7314,64.58,92,75,12.66
186,Tiznit,MA,2022-07-14 08:52:22,29.5833,-9.5,89.53,24,0,4.23
187,Olafsvik,IS,2022-07-14 08:52:22,64.8945,-23.7142,49.98,79,90,6.31
188,Bambous Virieux,MU,2022-07-14 08:52:22,-20.3428,57.7575,73.65,68,75,18.41
189,Nome,US,2022-07-14 08:52:23,64.5011,-165.4064,53.67,82,0,4.61
190,Havre-Saint-Pierre,CA,2022-07-14 08:52:23,50.2334,-63.5986,46.4,100,0,0.0
