City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
125,Hasaki,JP,2022-07-22 23:01:32,35.7333,140.8333,84.29,77,0,17.45,clear sky
126,Gotsu,JP,2022-07-22 23:01:32,35.0,132.2167,74.21,86,57,3.89,broken clouds
127,Bolkhov,RU,2022-07-22 23:01:32,53.4433,36.0044,57.34,94,16,7.74,few clouds
128,Champerico,GT,2022-07-22 23:01:33,14.3,-91.9167,83.91,76,36,10.78,scattered clouds
129,Grindavik,IS,2022-07-22 23:01:33,63.8424,-22.4338,50.47,100,75,5.75,fog
130,Touros,BR,2022-07-22 22:57:51,-5.1989,-35.4608,75.6,85,100,13.98,overcast clouds
131,New Norfolk,AU,2022-07-22 23:01:35,-42.7826,147.0587,51.93,85,100,2.35,overcast clouds
132,Adrar,MR,2022-07-22 23:02:36,20.5022,-10.0711,87.73,46,41,19.51,light rain
133,Rosarito,MX,2022-07-22 23:02:37,32.3333,-117.0333,82.63,69,93,8.08,overcast clouds
134,Kahului,US,2022-07-22 23:02:38,20.8947,-156.47,85.96,80,5,10.0,clear sky
135,Hofn,IS,2022-07-22 23:02:38,64.2539,-15.2082,51.94,91,58,6.38,broken clouds
136,Ponta Do Sol,PT,2022-07-22 23:02:39,32.6667,-17.1,71.71,81,15,4.72,few clouds
137,Rawson,AR,2022-07-22 23:02:40,-43.3002,-65.1023,41.22,35,98,4.0,overcast clouds
138,Jinxiang,CN,2022-07-22 23:00:27,27.4327,120.6062,82.62,82,7,4.56,clear sky
139,Sabang,ID,2022-07-22 23:02:41,5.8933,95.3214,81.3,74,100,3.94,light rain
140,Mporokoso,ZM,2022-07-22 23:02:41,-9.3727,30.125,62.87,49,94,9.98,overcast clouds
141,Clearwater,US,2022-07-22 23:02:42,27.9659,-82.8001,92.21,66,0,8.99,clear sky
142,Denpasar,ID,2022-07-22 22:58:37,-8.65,115.2167,78.46,83,40,12.66,scattered clouds
143,Tiksi,RU,2022-07-22 23:02:42,71.6872,128.8694,46.4,80,87,7.4,overcast clouds
144,Lebu,CL,2022-07-22 23:02:43,-37.6167,-73.65,53.28,97,100,12.17,overcast clouds
145,Eureka,US,2022-07-22 22:59:27,40.8021,-124.1637,80.67,74,11,8.01,few clouds
146,Ulladulla,AU,2022-07-22 23:02:43,-35.35,150.4667,55.04,85,81,5.77,broken clouds
147,Raudeberg,NO,2022-07-22 23:02:44,61.9875,5.1352,57.87,86,86,22.91,overcast clouds
148,Awjilah,LY,2022-07-22 23:02:44,29.1081,21.2869,77.63,59,0,15.75,clear sky
149,Kamenka,RU,2022-07-22 23:02:45,51.3223,42.7678,57.49,91,97,6.51,overcast clouds
150,Ranong,TH,2022-07-22 23:02:45,9.9658,98.6348,77.34,85,93,3.78,moderate rain
151,Lagoa,PT,2022-07-22 23:02:45,39.05,-27.9833,72.16,91,100,8.66,overcast clouds
152,Tevaitoa,PF,2022-07-22 23:02:46,-16.7833,-151.5,77.99,75,20,9.57,few clouds
153,Chuy,UY,2022-07-22 23:02:46,-33.6971,-53.4616,54.43,98,92,4.88,overcast clouds
154,Gizo,SB,2022-07-22 23:02:47,-8.103,156.8419,83.35,71,2,6.93,light rain
155,Utiel,ES,2022-07-22 23:02:48,39.5667,-1.2,74.16,49,84,2.82,broken clouds
156,Upernavik,GL,2022-07-22 23:02:48,72.7868,-56.1549,42.6,94,100,19.42,overcast clouds
157,Ilulissat,GL,2022-07-22 23:02:49,69.2167,-51.1,42.6,95,100,4.63,light rain
158,Mehamn,NO,2022-07-22 23:02:49,71.0357,27.8492,53.51,82,40,14.97,scattered clouds
159,Sitka,US,2022-07-22 23:02:50,57.0531,-135.33,55.09,86,100,5.08,overcast clouds
160,Vanavara,RU,2022-07-22 23:02:50,60.34,102.2797,62.89,70,100,4.36,overcast clouds
161,Cockburn Town,TC,2022-07-22 23:01:45,21.4612,-71.1419,82.04,79,100,18.79,overcast clouds
162,Cherkasskoye,RU,2022-07-22 23:02:51,52.4333,47.2167,57.2,91,72,5.73,broken clouds
163,Qatana,SY,2022-07-22 23:02:51,33.4354,36.0815,68.43,43,0,2.91,clear sky
164,Baykit,RU,2022-07-22 23:02:52,61.67,96.37,61.29,89,99,2.55,overcast clouds
165,Kaitangata,NZ,2022-07-22 23:02:52,-46.2817,169.8464,40.3,86,13,2.84,few clouds
166,Houston,US,2022-07-22 22:59:15,29.7633,-95.3633,90.95,70,0,10.36,clear sky
167,Komaki,JP,2022-07-22 23:02:53,35.2833,136.9167,82.04,66,20,9.22,few clouds
168,Collie,AU,2022-07-22 23:02:53,-33.3667,116.15,53.33,94,52,9.48,light rain
169,Taksimo,RU,2022-07-22 23:02:54,56.3444,114.8794,70.66,79,88,1.97,overcast clouds
170,Makakilo City,US,2022-07-22 23:02:54,21.3469,-158.0858,82.69,66,0,15.84,clear sky
171,Chulym,RU,2022-07-22 23:02:54,55.0997,80.9572,51.58,94,37,6.26,scattered clouds
172,Graaff-Reinet,ZA,2022-07-22 23:02:55,-32.2522,24.5308,62.92,38,100,10.09,overcast clouds
173,Iqaluit,CA,2022-07-22 23:02:55,63.7506,-68.5145,40.12,85,98,8.08,overcast clouds
174,Karlskoga,SE,2022-07-22 23:02:56,59.3267,14.5239,54.72,93,100,7.18,overcast clouds
175,Salinas,US,2022-07-22 23:02:56,36.6777,-121.6555,98.56,59,0,14.97,clear sky
176,Zhigansk,RU,2022-07-22 23:02:56,66.7697,123.3711,54.54,88,100,5.97,light rain
177,Strzelce Krajenskie,PL,2022-07-22 23:02:57,52.8773,15.5298,64.92,76,94,2.55,overcast clouds
178,Iwaki,JP,2022-07-22 23:02:57,37.05,140.8833,78.76,94,97,2.84,overcast clouds
179,Kaa-Khem,RU,2022-07-22 23:02:59,51.6833,94.7333,58.62,80,41,5.41,moderate rain
180,Beyneu,KZ,2022-07-22 23:02:59,45.3167,55.2,77.07,53,79,18.57,light rain
181,Victoria,HK,2022-07-22 23:02:59,22.2855,114.1577,88.32,82,44,7.52,scattered clouds
182,Piskivka,UA,2022-07-22 23:04:00,50.6938,29.6193,59.81,83,4,4.27,clear sky
183,Souillac,MU,2022-07-22 23:01:34,-20.5167,57.5167,68.38,88,75,10.36,light rain
184,Igbon,PH,2022-07-22 23:04:01,11.2142,123.1655,81.1,80,66,2.39,broken clouds
185,Narasannapeta,IN,2022-07-22 23:04:01,18.4167,84.05,80.37,87,100,2.82,overcast clouds
186,Bayanga,PH,2022-07-22 23:04:01,7.5214,124.2522,72.46,92,68,0.51,broken clouds
187,Mount Gambier,AU,2022-07-22 23:04:02,-37.8333,140.7667,51.31,98,100,8.9,overcast clouds
188,Mariental,NA,2022-07-22 22:59:39,-24.6333,17.9667,59.49,34,0,10.36,clear sky
189,Tecoanapa,MX,2022-07-22 23:04:03,16.5167,-98.75,85.08,69,97,6.87,overcast clouds
190,Kavaratti,IN,2022-07-22 23:04:04,10.5669,72.642,81.09,77,100,19.46,overcast clouds
191,Loveland,US,2022-07-22 22:59:13,40.3978,-105.075,100.11,18,0,5.99,clear sky
192,Sisophon,KH,2022-07-22 23:04:06,13.5859,102.9737,75.33,90,100,3.09,overcast clouds
193,Opuwo,NA,2022-07-22 23:04:06,-18.0607,13.84,60.31,34,0,5.01,clear sky
194,Roebourne,AU,2022-07-22 23:04:07,-20.7833,117.1333,67.77,66,0,7.83,clear sky
195,Lensk,RU,2022-07-22 23:04:07,60.7253,114.9278,65.88,82,92,3.09,overcast clouds
196,Katsuura,JP,2022-07-22 23:04:08,35.1333,140.3,80.02,78,0,19.28,clear sky
197,Jumla,NP,2022-07-22 23:04:08,29.2747,82.1838,62.82,96,100,0.6,light rain
198,Najran,SA,2022-07-22 23:04:09,17.4924,44.1277,83.95,43,100,6.53,overcast clouds
199,Orotukan,RU,2022-07-22 23:04:10,62.2667,151.7,62.42,49,29,1.34,scattered clouds
200,Hambantota,LK,2022-07-22 23:04:11,6.1241,81.1185,78.91,83,95,19.04,overcast clouds
201,Vanderhoof,CA,2022-07-22 23:04:11,54.0166,-124.0198,77.56,30,97,7.09,overcast clouds
202,Jacareacanga,BR,2022-07-22 23:04:12,-6.2222,-57.7528,82.89,47,66,3.09,broken clouds
203,Nanortalik,GL,2022-07-22 23:04:12,60.1432,-45.2371,46.65,84,23,4.07,few clouds
204,Kargasok,RU,2022-07-22 23:04:13,59.0556,80.8572,48.61,93,18,12.26,few clouds
205,Mahebourg,MU,2022-07-22 23:04:13,-20.4081,57.7,68.29,88,75,10.36,broken clouds
206,Boa Vista,BR,2022-07-22 23:04:13,2.8197,-60.6733,82.38,74,20,4.61,few clouds
207,Walvis Bay,NA,2022-07-22 22:59:38,-22.9575,14.5053,72.55,28,0,13.8,clear sky
208,Acapulco,MX,2022-07-22 23:00:51,16.8634,-99.8901,84.13,75,94,6.29,overcast clouds
209,Saint Anthony,US,2022-07-22 23:04:14,45.0205,-93.218,95.18,40,0,11.5,clear sky
210,Lisakovsk,KZ,2022-07-22 23:04:15,52.5369,62.4936,62.46,65,60,3.98,broken clouds
211,Maragogi,BR,2022-07-22 23:03:03,-9.0122,-35.2225,74.39,86,100,8.14,overcast clouds
212,Cam Ranh,VN,2022-07-22 23:04:15,11.9214,109.1591,76.96,78,20,4.61,few clouds
213,Kalmunai,LK,2022-07-22 23:04:16,7.4167,81.8167,78.22,87,92,4.92,overcast clouds
214,Kavieng,PG,2022-07-22 23:04:16,-2.5744,150.7967,82.6,76,28,10.49,light rain
215,Nalut,LY,2022-07-22 23:04:17,30.3333,10.85,80.08,26,0,14.63,clear sky
216,Faanui,PF,2022-07-22 23:04:17,-16.4833,-151.75,78.19,73,20,9.51,few clouds
217,Axim,GH,2022-07-22 23:04:18,4.8699,-2.2405,75.15,77,72,8.25,broken clouds
218,Petropavlovsk-Kamchatskiy,RU,2022-07-22 23:04:18,53.0452,158.6483,59.59,72,75,8.95,broken clouds
219,Teya,RU,2022-07-22 23:04:19,60.3778,92.6267,56.98,97,94,3.74,overcast clouds
220,Duldurga,RU,2022-07-22 23:04:19,50.6761,113.5931,63.72,82,100,2.13,overcast clouds
221,Dwarka,IN,2022-07-22 23:04:20,22.2394,68.9678,81.77,83,79,21.03,broken clouds
222,Irbeyskoye,RU,2022-07-22 23:04:20,55.6428,95.4522,57.11,92,1,4.05,clear sky
223,Tarnos,FR,2022-07-22 23:04:21,43.5417,-1.4628,70.11,68,100,10.36,overcast clouds
224,Ola,RU,2022-07-22 23:04:21,59.5833,151.2833,71.15,65,43,1.66,scattered clouds
225,Lakatoro,VU,2022-07-22 23:04:22,-16.0999,167.4164,80.89,81,77,13.33,broken clouds
226,Seoul,KR,2022-07-22 23:05:22,37.5683,126.9778,76.39,75,99,1.95,overcast clouds
227,Yar-Sale,RU,2022-07-22 23:05:23,66.8333,70.8333,44.65,95,100,14.41,overcast clouds
228,Petatlan,MX,2022-07-22 23:05:23,17.5167,-101.2667,87.6,67,98,5.57,overcast clouds
229,Oktyabrskoye,RU,2022-07-22 23:05:24,43.0645,44.7417,62.74,93,100,4.47,light intensity drizzle
230,Ust-Uda,RU,2022-07-22 23:05:24,54.1742,103.0304,58.93,98,100,1.83,overcast clouds
231,Pangnirtung,CA,2022-07-22 23:05:24,66.1451,-65.7125,54.72,56,9,3.0,clear sky
232,Lanivtsi,UA,2022-07-22 23:05:25,49.8633,26.0908,64.63,70,63,3.67,broken clouds
233,Mirnyy,RU,2022-07-22 23:05:25,62.5353,113.9611,64.72,77,100,4.12,overcast clouds
234,Nyurba,RU,2022-07-22 23:05:26,63.2842,118.3319,66.4,81,100,4.03,overcast clouds
235,Namatanai,PG,2022-07-22 23:05:26,-3.6667,152.4333,83.17,64,10,6.71,clear sky
236,Port Elizabeth,ZA,2022-07-22 23:05:27,-33.918,25.5701,58.32,84,100,13.0,overcast clouds
237,Marfino,RU,2022-07-22 23:05:27,55.7028,37.3822,64.54,72,0,6.71,clear sky
238,Kysyl-Syr,RU,2022-07-22 23:05:28,63.8986,122.7617,66.83,74,100,4.81,overcast clouds
239,Mgandu,TZ,2022-07-22 23:05:28,-5.95,34.1333,56.64,68,3,8.55,clear sky
240,Mount Hagen,PG,2022-07-22 23:05:28,-5.8581,144.2274,65.61,78,12,1.3,few clouds
241,Quatre Cocos,MU,2022-07-22 23:05:29,-20.2078,57.7625,68.11,79,17,13.69,few clouds
242,Tadine,NC,2022-07-22 23:05:29,-21.55,167.8833,77.23,84,80,18.28,light rain
243,Paamiut,GL,2022-07-22 23:05:30,61.994,-49.6678,46.0,85,6,10.63,clear sky
244,Sao Filipe,CV,2022-07-22 23:05:30,14.8961,-24.4956,75.18,81,72,1.83,broken clouds
245,Lorengau,PG,2022-07-22 23:01:22,-2.0226,147.2712,82.89,78,33,10.38,scattered clouds
246,Nome,US,2022-07-22 23:05:31,64.5011,-165.4064,49.15,87,100,10.36,overcast clouds
247,Broken Hill,AU,2022-07-22 23:05:31,-31.95,141.4333,56.14,67,99,8.86,overcast clouds
248,Vao,NC,2022-07-22 23:05:31,-22.6667,167.4833,74.55,88,89,24.7,moderate rain
249,Semarang,ID,2022-07-22 23:05:32,-6.9932,110.4203,76.93,83,96,5.75,overcast clouds
250,Vostochnyy,RU,2022-07-22 23:05:32,55.8167,37.8667,64.58,78,2,4.7,clear sky
251,Cap Malheureux,MU,2022-07-22 23:05:33,-19.9842,57.6142,66.47,81,1,3.0,clear sky
252,Tuatapere,NZ,2022-07-22 23:05:33,-46.1333,167.6833,42.1,84,13,4.0,few clouds
253,Grand Gaube,MU,2022-07-22 23:04:17,-20.0064,57.6608,68.4,81,1,3.0,clear sky
254,Mangrol,IN,2022-07-22 23:05:34,21.1167,70.1167,80.71,82,90,16.15,light rain
255,Merauke,ID,2022-07-22 23:05:35,-8.4667,140.3333,76.51,88,100,10.92,overcast clouds
256,Omboue,GA,2022-07-22 23:05:35,-1.5746,9.2618,70.48,83,63,8.01,broken clouds
257,Half Moon Bay,US,2022-07-22 23:01:11,37.4636,-122.4286,91.89,72,0,20.71,haze
258,Fairbanks,US,2022-07-22 23:02:12,64.8378,-147.7164,62.1,68,100,1.99,overcast clouds
259,Mushie,CD,2022-07-22 23:05:36,-3.0167,16.9,75.81,71,73,3.02,light rain
260,Lugo,ES,2022-07-22 23:05:36,43.0,-7.5,58.48,97,4,3.91,clear sky
261,Jieshi,CN,2022-07-22 23:05:36,22.8134,115.8257,84.27,76,6,6.11,clear sky
